ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
2,2,1,NoFurniture,Regular,1
2,3,2,NoFurniture,Regular,3
2,4,3,NoFurniture,Regular,3
2,5,4,NoFurniture,Regular,3
2,6,5,NoFurniture,Regular,1
2,8,6,NoFurniture,Irregular,1
2,9,7,NoFurniture,Irregular,2
2,10,8,NoFurniture,Irregular,1
2,11,9,NoFurniture,Irregular,1
2,12,10,NoFurniture,Irregular,4
2,14,11,HasFurniture,Regular,5
2,15,12,HasFurniture,Regular,4
2,16,13,HasFurniture,Regular,5
2,17,14,HasFurniture,Regular,5
2,18,15,HasFurniture,Regular,5
2,20,16,HasFurniture,Irregular,2
2,21,17,HasFurniture,Irregular,5
2,22,18,HasFurniture,Irregular,5
2,23,19,HasFurniture,Irregular,5
2,24,20,HasFurniture,Irregular,5
