ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
1,2,1,HasFurniture,Regular,2
1,3,2,HasFurniture,Regular,5
1,4,3,HasFurniture,Regular,4
1,5,4,HasFurniture,Regular,2
1,6,5,HasFurniture,Regular,4
1,8,6,NoFurniture,Regular,3
1,9,7,NoFurniture,Regular,2
1,10,8,NoFurniture,Regular,2
1,11,9,NoFurniture,Regular,4
1,12,10,NoFurniture,Regular,0
1,14,11,HasFurniture,Irregular,0
1,15,12,HasFurniture,Irregular,2
1,16,13,HasFurniture,Irregular,4
1,17,14,HasFurniture,Irregular,3
1,18,15,HasFurniture,Irregular,1
1,20,16,NoFurniture,Irregular,1
1,21,17,NoFurniture,Irregular,2
1,22,18,NoFurniture,Irregular,2
1,23,19,NoFurniture,Irregular,2
1,24,20,NoFurniture,Irregular,3
