ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
11,2,1,HasFurniture,Irregular,2
11,3,2,HasFurniture,Irregular,1
11,4,3,HasFurniture,Irregular,3
11,5,4,HasFurniture,Irregular,0
11,6,5,HasFurniture,Irregular,1
11,8,6,HasFurniture,Regular,0
11,9,7,HasFurniture,Regular,2
11,10,8,HasFurniture,Regular,2
11,11,9,HasFurniture,Regular,1
11,12,10,HasFurniture,Regular,1
11,14,11,NoFurniture,Irregular,2
11,15,12,NoFurniture,Irregular,2
11,16,13,NoFurniture,Irregular,0
11,17,14,NoFurniture,Irregular,1
11,18,15,NoFurniture,Irregular,1
11,20,16,NoFurniture,Regular,0
11,21,17,NoFurniture,Regular,1
11,22,18,NoFurniture,Regular,4
11,23,19,NoFurniture,Regular,1
11,24,20,NoFurniture,Regular,1
