ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
7,2,1,HasFurniture,Irregular,2
7,3,2,HasFurniture,Irregular,0
7,4,3,HasFurniture,Irregular,3
7,5,4,HasFurniture,Irregular,2
7,6,5,HasFurniture,Irregular,3
7,8,6,HasFurniture,Regular,5
7,9,7,HasFurniture,Regular,1
7,10,8,HasFurniture,Regular,2
7,11,9,HasFurniture,Regular,3
7,12,10,HasFurniture,Regular,3
7,14,11,NoFurniture,Irregular,4
7,15,12,NoFurniture,Irregular,2
7,16,13,NoFurniture,Irregular,3
7,17,14,NoFurniture,Irregular,2
7,18,15,NoFurniture,Irregular,1
7,20,16,NoFurniture,Regular,5
7,21,17,NoFurniture,Regular,2
7,22,18,NoFurniture,Regular,3
7,23,19,NoFurniture,Regular,3
7,24,20,NoFurniture,Regular,2
