ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
8,2,1,NoFurniture,Irregular,1
8,3,2,NoFurniture,Irregular,2
8,4,3,NoFurniture,Irregular,2
8,5,4,NoFurniture,Irregular,4
8,6,5,NoFurniture,Irregular,2
8,8,6,HasFurniture,Irregular,2
8,9,7,HasFurniture,Irregular,3
8,10,8,HasFurniture,Irregular,2
8,11,9,HasFurniture,Irregular,4
8,12,10,HasFurniture,Irregular,2
8,14,11,NoFurniture,Regular,2
8,15,12,NoFurniture,Regular,1
8,16,13,NoFurniture,Regular,1
8,17,14,NoFurniture,Regular,3
8,18,15,NoFurniture,Regular,1
8,20,16,HasFurniture,Regular,1
8,21,17,HasFurniture,Regular,2
8,22,18,HasFurniture,Regular,2
8,23,19,HasFurniture,Regular,1
8,24,20,HasFurniture,Regular,2
