ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
13,2,1,HasFurniture,Regular,1
13,3,2,HasFurniture,Regular,0
13,4,3,HasFurniture,Regular,1
13,5,4,HasFurniture,Regular,1
13,6,5,HasFurniture,Regular,1
13,8,6,NoFurniture,Regular,1
13,9,7,NoFurniture,Regular,2
13,10,8,NoFurniture,Regular,2
13,11,9,NoFurniture,Regular,3
13,12,10,NoFurniture,Regular,1
13,14,11,HasFurniture,Irregular,0
13,15,12,HasFurniture,Irregular,2
13,16,13,HasFurniture,Irregular,1
13,17,14,HasFurniture,Irregular,2
13,18,15,HasFurniture,Irregular,3
13,20,16,NoFurniture,Irregular,1
13,21,17,NoFurniture,Irregular,2
13,22,18,NoFurniture,Irregular,2
13,23,19,NoFurniture,Irregular,2
13,24,20,NoFurniture,Irregular,2
