ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
15,2,1,HasFurniture,Irregular,2
15,3,2,HasFurniture,Irregular,2
15,4,3,HasFurniture,Irregular,1
15,5,4,HasFurniture,Irregular,2
15,6,5,HasFurniture,Irregular,0
15,8,6,HasFurniture,Regular,1
15,9,7,HasFurniture,Regular,0
15,10,8,HasFurniture,Regular,2
15,11,9,HasFurniture,Regular,2
15,12,10,HasFurniture,Regular,2
15,14,11,NoFurniture,Irregular,0
15,15,12,NoFurniture,Irregular,2
15,16,13,NoFurniture,Irregular,1
15,17,14,NoFurniture,Irregular,1
15,18,15,NoFurniture,Irregular,1
15,20,16,NoFurniture,Regular,0
15,21,17,NoFurniture,Regular,2
15,22,18,NoFurniture,Regular,2
15,23,19,NoFurniture,Regular,2
15,24,20,NoFurniture,Regular,1
