ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
3,2,1,HasFurniture,Irregular,1
3,3,2,HasFurniture,Irregular,3
3,4,3,HasFurniture,Irregular,3
3,5,4,HasFurniture,Irregular,1
3,6,5,HasFurniture,Irregular,4
3,8,6,HasFurniture,Regular,3
3,9,7,HasFurniture,Regular,3
3,10,8,HasFurniture,Regular,4
3,11,9,HasFurniture,Regular,4
3,12,10,HasFurniture,Regular,4
3,14,11,NoFurniture,Irregular,4
3,15,12,NoFurniture,Irregular,4
3,16,13,NoFurniture,Irregular,3
3,17,14,NoFurniture,Irregular,3
3,18,15,NoFurniture,Irregular,0
3,20,16,NoFurniture,Regular,3
3,21,17,NoFurniture,Regular,4
3,22,18,NoFurniture,Regular,5
3,23,19,NoFurniture,Regular,3
3,24,20,NoFurniture,Regular,3
