ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
4,2,1,NoFurniture,Irregular,1
4,3,2,NoFurniture,Irregular,2
4,4,3,NoFurniture,Irregular,3
4,5,4,NoFurniture,Irregular,1
4,6,5,NoFurniture,Irregular,1
4,8,6,HasFurniture,Irregular,2
4,9,7,HasFurniture,Irregular,1
4,10,8,HasFurniture,Irregular,0
4,11,9,HasFurniture,Irregular,0
4,12,10,HasFurniture,Irregular,1
4,14,11,NoFurniture,Regular,0
4,15,12,NoFurniture,Regular,2
4,16,13,NoFurniture,Regular,0
4,17,14,NoFurniture,Regular,1
4,18,15,NoFurniture,Regular,2
4,20,16,HasFurniture,Regular,0
4,21,17,HasFurniture,Regular,1
4,22,18,HasFurniture,Regular,1
4,23,19,HasFurniture,Regular,3
4,24,20,HasFurniture,Regular,2
