ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
10,2,1,NoFurniture,Regular,3
10,3,2,NoFurniture,Regular,3
10,4,3,NoFurniture,Regular,5
10,5,4,NoFurniture,Regular,4
10,6,5,NoFurniture,Regular,3
10,8,6,NoFurniture,Irregular,2
10,9,7,NoFurniture,Irregular,2
10,10,8,NoFurniture,Irregular,4
10,11,9,NoFurniture,Irregular,1
10,12,10,NoFurniture,Irregular,2
10,14,11,HasFurniture,Regular,5
10,15,12,HasFurniture,Regular,2
10,16,13,HasFurniture,Regular,5
10,17,14,HasFurniture,Regular,4
10,18,15,HasFurniture,Regular,5
10,20,16,HasFurniture,Irregular,3
10,21,17,HasFurniture,Irregular,5
10,22,18,HasFurniture,Irregular,3
10,23,19,HasFurniture,Irregular,4
10,24,20,HasFurniture,Irregular,2
