ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
14,2,1,NoFurniture,Regular,0
14,3,2,NoFurniture,Regular,0
14,4,3,NoFurniture,Regular,2
14,5,4,NoFurniture,Regular,1
14,6,5,NoFurniture,Regular,3
14,8,6,NoFurniture,Irregular,0
14,9,7,NoFurniture,Irregular,1
14,10,8,NoFurniture,Irregular,2
14,11,9,NoFurniture,Irregular,1
14,12,10,NoFurniture,Irregular,3
14,14,11,HasFurniture,Regular,2
14,15,12,HasFurniture,Regular,2
14,16,13,HasFurniture,Regular,3
14,17,14,HasFurniture,Regular,3
14,18,15,HasFurniture,Regular,2
14,20,16,HasFurniture,Irregular,3
14,21,17,HasFurniture,Irregular,2
14,22,18,HasFurniture,Irregular,0
14,23,19,HasFurniture,Irregular,0
14,24,20,HasFurniture,Irregular,1
