ParticipantID,TrialNo,TrialID,FurnitureCondition,AlignmentCondition,AnswerAccuracy
5,2,1,HasFurniture,Regular,5
5,3,2,HasFurniture,Regular,5
5,4,3,HasFurniture,Regular,5
5,5,4,HasFurniture,Regular,5
5,6,5,HasFurniture,Regular,3
5,8,6,NoFurniture,Regular,4
5,9,7,NoFurniture,Regular,5
5,10,8,NoFurniture,Regular,5
5,11,9,NoFurniture,Regular,5
5,12,10,NoFurniture,Regular,3
5,14,11,HasFurniture,Irregular,3
5,15,12,HasFurniture,Irregular,4
5,16,13,HasFurniture,Irregular,4
5,17,14,HasFurniture,Irregular,4
5,18,15,HasFurniture,Irregular,5
5,20,16,NoFurniture,Irregular,4
5,21,17,NoFurniture,Irregular,5
5,22,18,NoFurniture,Irregular,5
5,23,19,NoFurniture,Irregular,4
5,24,20,NoFurniture,Irregular,5
